,HSA,hsa_link
252,5693,https://www.genome.jp/pathway/hsa05022
253,5696,https://www.genome.jp/pathway/hsa03050
254,5698,https://www.genome.jp/pathway/hsa03050
255,4018,https://www.genome.jp/pathway/hsa04979
256,5340,https://www.genome.jp/pathway/hsa04080
257,5340,https://www.genome.jp/pathway/hsa04610
258,5340,https://www.genome.jp/pathway/hsa05150
259,5340,https://www.genome.jp/pathway/hsa05164
260,5327,https://www.genome.jp/pathway/hsa04371
261,5327,https://www.genome.jp/pathway/hsa04610
262,5327,https://www.genome.jp/pathway/hsa05202
263,5327,https://www.genome.jp/pathway/hsa05215
264,5327,https://www.genome.jp/pathway/hsa05418
265,3690,https://www.genome.jp/pathway/hsa04015
266,3690,https://www.genome.jp/pathway/hsa04145
267,3690,https://www.genome.jp/pathway/hsa04151
268,3690,https://www.genome.jp/pathway/hsa04380
269,3690,https://www.genome.jp/pathway/hsa04510
270,3690,https://www.genome.jp/pathway/hsa04512
271,3690,https://www.genome.jp/pathway/hsa04611
272,3690,https://www.genome.jp/pathway/hsa04613
273,3690,https://www.genome.jp/pathway/hsa04640
274,3690,https://www.genome.jp/pathway/hsa04810
275,3690,https://www.genome.jp/pathway/hsa04919
276,3690,https://www.genome.jp/pathway/hsa05163
277,3690,https://www.genome.jp/pathway/hsa05165
278,3690,https://www.genome.jp/pathway/hsa05168
279,3690,https://www.genome.jp/pathway/hsa05205
280,3690,https://www.genome.jp/pathway/hsa05206
281,3690,https://www.genome.jp/pathway/hsa05410
282,3690,https://www.genome.jp/pathway/hsa05412
283,3690,https://www.genome.jp/pathway/hsa05414
284,3690,https://www.genome.jp/pathway/hsa05418
285,8678,https://www.genome.jp/pathway/hsa04136
286,8678,https://www.genome.jp/pathway/hsa04137
287,8678,https://www.genome.jp/pathway/hsa04140
288,8678,https://www.genome.jp/pathway/hsa04215
289,8678,https://www.genome.jp/pathway/hsa04371
290,8678,https://www.genome.jp/pathway/hsa05010
291,8678,https://www.genome.jp/pathway/hsa05014
292,8678,https://www.genome.jp/pathway/hsa05016
293,8678,https://www.genome.jp/pathway/hsa05017
294,8678,https://www.genome.jp/pathway/hsa05022
295,8678,https://www.genome.jp/pathway/hsa05131
296,8678,https://www.genome.jp/pathway/hsa05167
297,2099,https://www.genome.jp/pathway/hsa01522
298,2099,https://www.genome.jp/pathway/hsa04915
299,2099,https://www.genome.jp/pathway/hsa04917
300,2099,https://www.genome.jp/pathway/hsa04919
301,2099,https://www.genome.jp/pathway/hsa04961
302,2099,https://www.genome.jp/pathway/hsa05200
303,2099,https://www.genome.jp/pathway/hsa05205
304,2099,https://www.genome.jp/pathway/hsa05207
305,2099,https://www.genome.jp/pathway/hsa05224
306,2100,https://www.genome.jp/pathway/hsa01522
307,2100,https://www.genome.jp/pathway/hsa04915
308,2100,https://www.genome.jp/pathway/hsa04917
309,2100,https://www.genome.jp/pathway/hsa04929
310,2100,https://www.genome.jp/pathway/hsa05200
311,2100,https://www.genome.jp/pathway/hsa05207
312,2100,https://www.genome.jp/pathway/hsa05224
313,2852,https://www.genome.jp/pathway/hsa01522
314,2852,https://www.genome.jp/pathway/hsa04915
315,2852,https://www.genome.jp/pathway/hsa04929
316,1137,https://www.genome.jp/pathway/hsa04080
317,1137,https://www.genome.jp/pathway/hsa04725
318,1137,https://www.genome.jp/pathway/hsa05033
319,1137,https://www.genome.jp/pathway/hsa05207
320,5422,https://www.genome.jp/pathway/hsa03030
321,1633,https://www.genome.jp/pathway/hsa00230
322,1633,https://www.genome.jp/pathway/hsa00240
323,1633,https://www.genome.jp/pathway/hsa01100
324,6240,https://www.genome.jp/pathway/hsa00230
325,6240,https://www.genome.jp/pathway/hsa00240
326,6240,https://www.genome.jp/pathway/hsa00480
327,6240,https://www.genome.jp/pathway/hsa00983
328,6240,https://www.genome.jp/pathway/hsa01100
329,3065,https://www.genome.jp/pathway/hsa04110
330,3065,https://www.genome.jp/pathway/hsa04213
331,3065,https://www.genome.jp/pathway/hsa04330
332,3065,https://www.genome.jp/pathway/hsa04613
333,3065,https://www.genome.jp/pathway/hsa04919
334,3065,https://www.genome.jp/pathway/hsa05016
335,3065,https://www.genome.jp/pathway/hsa05031
336,3065,https://www.genome.jp/pathway/hsa05034
337,3065,https://www.genome.jp/pathway/hsa05165
338,3065,https://www.genome.jp/pathway/hsa05169
339,3065,https://www.genome.jp/pathway/hsa05200
340,3065,https://www.genome.jp/pathway/hsa05202
341,3065,https://www.genome.jp/pathway/hsa05203
342,3065,https://www.genome.jp/pathway/hsa05206
343,3065,https://www.genome.jp/pathway/hsa05220
344,1901,https://www.genome.jp/pathway/hsa04068
345,1901,https://www.genome.jp/pathway/hsa04071
346,1901,https://www.genome.jp/pathway/hsa04080
347,1903,https://www.genome.jp/pathway/hsa04071
348,1903,https://www.genome.jp/pathway/hsa04080
349,8698,https://www.genome.jp/pathway/hsa04068
350,8698,https://www.genome.jp/pathway/hsa04071
351,8698,https://www.genome.jp/pathway/hsa04080
352,53637,https://www.genome.jp/pathway/hsa04071
353,53637,https://www.genome.jp/pathway/hsa04080
354,5745,https://www.genome.jp/pathway/hsa04080
355,5745,https://www.genome.jp/pathway/hsa04928
356,5745,https://www.genome.jp/pathway/hsa04961
357,3973,https://www.genome.jp/pathway/hsa04020
358,3973,https://www.genome.jp/pathway/hsa04024
359,3973,https://www.genome.jp/pathway/hsa04080
360,3973,https://www.genome.jp/pathway/hsa04913
361,3973,https://www.genome.jp/pathway/hsa04917
362,5241,https://www.genome.jp/pathway/hsa04114
363,5241,https://www.genome.jp/pathway/hsa04914
364,5241,https://www.genome.jp/pathway/hsa04915
365,5241,https://www.genome.jp/pathway/hsa05207
366,5241,https://www.genome.jp/pathway/hsa05224
367,41,https://www.genome.jp/pathway/hsa04750
368,40,https://www.genome.jp/pathway/hsa04742
369,40,https://www.genome.jp/pathway/hsa04750
370,26,https://www.genome.jp/pathway/hsa00330
371,26,https://www.genome.jp/pathway/hsa00340
372,26,https://www.genome.jp/pathway/hsa00380
373,26,https://www.genome.jp/pathway/hsa01100
374,6337,https://www.genome.jp/pathway/hsa04742
375,6337,https://www.genome.jp/pathway/hsa04960
376,6338,https://www.genome.jp/pathway/hsa04742
377,6338,https://www.genome.jp/pathway/hsa04960
378,6340,https://www.genome.jp/pathway/hsa04742
379,6340,https://www.genome.jp/pathway/hsa04960
380,6548,https://www.genome.jp/pathway/hsa04024
381,6548,https://www.genome.jp/pathway/hsa04260
382,6548,https://www.genome.jp/pathway/hsa04261
383,6548,https://www.genome.jp/pathway/hsa04371
384,6548,https://www.genome.jp/pathway/hsa04810
385,6548,https://www.genome.jp/pathway/hsa04919
386,6548,https://www.genome.jp/pathway/hsa04970
387,6548,https://www.genome.jp/pathway/hsa04971
388,6548,https://www.genome.jp/pathway/hsa04972
389,6548,https://www.genome.jp/pathway/hsa04976
390,6548,https://www.genome.jp/pathway/hsa05205
391,5328,https://www.genome.jp/pathway/hsa04064
392,5328,https://www.genome.jp/pathway/hsa04610
393,5328,https://www.genome.jp/pathway/hsa05202
394,5328,https://www.genome.jp/pathway/hsa05205
395,5328,https://www.genome.jp/pathway/hsa05206
396,5328,https://www.genome.jp/pathway/hsa05215
397,1636,https://www.genome.jp/pathway/hsa04614
398,1636,https://www.genome.jp/pathway/hsa04924
399,1636,https://www.genome.jp/pathway/hsa05142
400,1636,https://www.genome.jp/pathway/hsa05171
401,1636,https://www.genome.jp/pathway/hsa05410
402,1636,https://www.genome.jp/pathway/hsa05415
403,5972,https://www.genome.jp/pathway/hsa04614
404,5972,https://www.genome.jp/pathway/hsa04924
405,5972,https://www.genome.jp/pathway/hsa05415
406,6720,https://www.genome.jp/pathway/hsa04152
407,6720,https://www.genome.jp/pathway/hsa04910
408,6720,https://www.genome.jp/pathway/hsa04931
409,6720,https://www.genome.jp/pathway/hsa04932
410,6720,https://www.genome.jp/pathway/hsa04936
411,2740,https://www.genome.jp/pathway/hsa04024
412,2740,https://www.genome.jp/pathway/hsa04080
413,2740,https://www.genome.jp/pathway/hsa04911
414,367,https://www.genome.jp/pathway/hsa04114
415,367,https://www.genome.jp/pathway/hsa05200
416,367,https://www.genome.jp/pathway/hsa05207
417,367,https://www.genome.jp/pathway/hsa05215
418,2492,https://www.genome.jp/pathway/hsa04024
419,2492,https://www.genome.jp/pathway/hsa04080
420,2492,https://www.genome.jp/pathway/hsa04913
421,1373,https://www.genome.jp/pathway/hsa00220
422,1373,https://www.genome.jp/pathway/hsa00250
423,1373,https://www.genome.jp/pathway/hsa00910
424,1373,https://www.genome.jp/pathway/hsa01100
425,1373,https://www.genome.jp/pathway/hsa01200
426,1373,https://www.genome.jp/pathway/hsa01230
427,695,https://www.genome.jp/pathway/hsa04064
428,695,https://www.genome.jp/pathway/hsa04380
429,695,https://www.genome.jp/pathway/hsa04611
430,695,https://www.genome.jp/pathway/hsa04662
431,695,https://www.genome.jp/pathway/hsa04664
432,695,https://www.genome.jp/pathway/hsa05169
433,695,https://www.genome.jp/pathway/hsa05340
434,5578,https://www.genome.jp/pathway/hsa01521
435,5578,https://www.genome.jp/pathway/hsa04010
436,5578,https://www.genome.jp/pathway/hsa04012
437,5578,https://www.genome.jp/pathway/hsa04014
438,5578,https://www.genome.jp/pathway/hsa04015
439,5578,https://www.genome.jp/pathway/hsa04020
440,5578,https://www.genome.jp/pathway/hsa04066
441,5578,https://www.genome.jp/pathway/hsa04070
442,5578,https://www.genome.jp/pathway/hsa04071
443,5578,https://www.genome.jp/pathway/hsa04072
444,5578,https://www.genome.jp/pathway/hsa04150
445,5578,https://www.genome.jp/pathway/hsa04151
446,5578,https://www.genome.jp/pathway/hsa04261
447,5578,https://www.genome.jp/pathway/hsa04270
448,5578,https://www.genome.jp/pathway/hsa04310
449,5578,https://www.genome.jp/pathway/hsa04360
450,5578,https://www.genome.jp/pathway/hsa04370
451,5578,https://www.genome.jp/pathway/hsa04510
452,5578,https://www.genome.jp/pathway/hsa04540
453,5578,https://www.genome.jp/pathway/hsa04613
454,5578,https://www.genome.jp/pathway/hsa04650
455,5578,https://www.genome.jp/pathway/hsa04664
456,5578,https://www.genome.jp/pathway/hsa04666
457,5578,https://www.genome.jp/pathway/hsa04670
458,5578,https://www.genome.jp/pathway/hsa04713
459,5578,https://www.genome.jp/pathway/hsa04720
460,5578,https://www.genome.jp/pathway/hsa04723
461,5578,https://www.genome.jp/pathway/hsa04724
462,5578,https://www.genome.jp/pathway/hsa04725
463,5578,https://www.genome.jp/pathway/hsa04726
464,5578,https://www.genome.jp/pathway/hsa04727
465,5578,https://www.genome.jp/pathway/hsa04728
466,5578,https://www.genome.jp/pathway/hsa04730
467,5578,https://www.genome.jp/pathway/hsa04750
468,5578,https://www.genome.jp/pathway/hsa04911
469,5578,https://www.genome.jp/pathway/hsa04912
470,5578,https://www.genome.jp/pathway/hsa04916
471,5578,https://www.genome.jp/pathway/hsa04918
472,5578,https://www.genome.jp/pathway/hsa04919
473,5578,https://www.genome.jp/pathway/hsa04921
474,5578,https://www.genome.jp/pathway/hsa04925
475,5578,https://www.genome.jp/pathway/hsa04926
476,5578,https://www.genome.jp/pathway/hsa04928
